District,Name,Age
Alabama (District 7),Terri Sewell,52
Arizona (District 1),Tom O?Halleran,71
Arizona (District 3),Raul Grijalva,69
Arizona (District 7),Ruben Gallego,38
Arizona (District 9),Kyrsten Sinema,41
California (District 2),Jared Huffman,53
California (District 3),John Garamendi,72
California (District 5),Mike Thompson,66
California (District 6),Doris Matsui,73
California (District 7),Ami Bera,52
California (District 9),Jerry McNerney,66
California (District 11),Mark DeSaulnier,65
California (District 12),Nancy Pelosi (House Minority Leader),77
California (District 13),Barbara Lee,71
California (District 14),Jackie Speier,67
California (District 15),Eric Swalwell,37
California (District 16),Jim Costa,65
California (District 17),Ro Khanna,41
California (District 18),Anna Eshoo,75
California (District 19),Zoe Lofgren,70
California (District 20),Jimmy Panetta,48
California (District 24),Salud Carbajal,53
California (District 26),Julia Brownley,65
California (District 27),Judy Chu,64
California (District 28),Adam Schiff,57
California (District 29),Tony Cardenas,54
California (District 30),Brad Sherman,63
California (District 31),Pete Aguilar,38
California (District 32),Grace Napolitano,81
California (District 33),Ted Lieu,48
California (District 35),Norma Torres,52
California (District 36),Raul Ruiz,45
California (District 37),Karen Bass,64
California (District 38),Linda Sanchez,48
California (District 40),Lucille Roybal-Allard,76
California (District 41),Mark Takano,57
California (District 43),Maxine Waters,79
California (District 44),Nanette Barragan,41
California (District 46),Lou Correa,59
California (District 47),Alan Lowenthal,76
California (District 51),Juan Vargas,56
California (District 52),Scott Peters,59
California (District 53),Susan Davis,73
Colorado (District 1),Diana DeGette,60
Colorado (District 2),Jared Polis,42
Colorado (District 7),Ed Perlmutter,64
Connecticut (District 1),John B. Larson,69
Connecticut (District 2),Joe Courtney,64
Connecticut (District 3),Rosa DeLauro,74
Connecticut (District 4),Jim Hines,51
Connecticut (District 5),Elizabeth Esty,58
Delaware (At Large),Lisa Blunt Rochester,55
Florida (District 5),Al Lawson,69
Florida (District 7),Stephanie Murphy,39
Florida (District 9),Darren Soto,39
Florida (District 10),Val Demings,60
Florida (District 13),Charlie Crist,61
Florida (District 14),Kathy Castor,51
Florida (District 20),Alcee Hastings,81
Florida (District 21),Ted Deutch,51
Florida (District 22),Lois Frankel,69
Florida (District 23),Debbie Wasserman Schultz,51
Florida (District 24),Frederica Wilson,75
Georgia (District 2),Sanford Bishop,70
Georgia (District 4),Hank Johnson,63
Georgia (District 5),John Lewis,77
Georgia (District 13),David Scott,71
Hawaii (District 1),Colleen Hanabusa,66
Hawaii (District 2),Tulsi Gabbard,36
Illinois (District 1),Bobby Rush,71
Illinois (District 2),Robin Kelly,61
Illinois (District 3),Dan Lipinski,51
Illinois (District 4),Luis Gutierrez,64
Illinois (District 5),Mike Quigley,58
Illinois (District 7),Danny K. Davis,76
Illinois (District 8),Raja Krishnamoorthi,44
Illinois (District 9),Jan Schakowsky,73
Illinois (District 10),Brad Schneider,56
Illinois (District 11),Bill Foster,62
Illinois (District 17),Cheri Bustos,56
Indiana (District 1),Pete Visclosky,68
Indiana (District 7),Andre Carson,43
Iowa (District 2),Dave Loebsack,65
Kentucky (District 3),John Yarmuth,70
Louisiana (District 2),Cedric Richmond,44
Maine (District 1),Chellie Pingree,62
Maryland (District 2),Dutch Ruppersberger,71
Maryland (District 3),John Sarbanes,55
Maryland (District 4),Anthony G. Brown,56
Maryland (District 5),Steny Hoyer,78
Maryland (District 6),John Delaney,54
Maryland (District 7),Elijah Cummings,66
Maryland (District 8),Jamie Raskin,55
Massachusetts (District 1),Richard Neal,68
Massachusetts (District 2),Jim McGovern,58
Massachusetts (District 3), Niki Tsongas,71
Massachusetts (District 4),Joe Kennedy,37
Massachusetts (District 5),Katherine Clark,54
Massachusetts (District 6),Seth Moulton,39
Massachusetts (District 7),Mike Capuano,65
Massachusetts (District 8),Stephen F. Lynch,62
Massachusetts (District 9),Bill Keating,65
Michigan (District 5),Dan Kildee,59
Michigan (District 9),Sander Levin,86
Michigan (District 12),Debbie Dingell,64
Michigan (District 13),John Conyers,88
Michigan (District 14),Brenda Lawrence,63
Minnesota (District 1),Tim Walz,53
Minnesota (District 4),Betty McCollum,63
Minnesota (District 5),Keith Ellison,54
Minnesota (District 7),Collin Peterson,73
Minnesota (District 8),Rick Nolan,74
Mississippi (District 2),Bennie Thompson,69
Missouri (District 1),William Clay,61
Missouri (District 5),Emanuel Cleaver,73
Nevada (District 1),Dina Titus,67
Nevada (District 3),Jacky Rosen,60
Nevada (District 4),Ruben Kihuen,37
New Hampshire (District 1),Carol Shea-Porter,65
New Hampshire (District 2),Ann McLane Kuster,61
New Jersey (District 1),Donald Norcross,59
New Jersey (District 5),Josh Gottheimer,42
New Jersey (District 6),Frank Pallone,66
New Jersey (District 8),Albio Sires,66
New Jersey (District 9),Bill Pascrell,80
New Jersey (District 10),Donald Payne Jr.,59
New Jersey (District 12),Bonnie Watson Coleman,72
New Mexico (District 1),Michelle Lujan Grisham,58
New Mexico (District 3),Ben Ray Lujan,45
New York (District 3),Thomas Suozzi,55
New York (District 4),Kathleen Rice,52
New York (District 5),Gregory Meeks,64
New York (District 6),Grace Meng,42
New York (District 7),Nydia Velazquez,64
New York (District 8),Hakeem Jeffries,47
New York (District 9),Yvette Clarke,53
New York (District 10),Jerrold Nadler,70
New York (District 12),Carolyn Maloney,69
New York (District 13),Adriano Espaillat,63
New York (District 14),Joseph Crowley,55
New York (District 15),Jose Serrano,74
New York (District 16),Eliot Engel,70
New York (District 17),Nita Lowey,80
New York (District 18),Sean Patrick Maloney,51
New York (District 20),Paul Tonko,68
New York (District 25),Louise Slaughter,88
New York (District 26),Brian Higgins,58
North Carolina (District 1),G.K. Butterfield,70
North Carolina (District 4),David Price,77
North Carolina (District 12),Alma Adams,71
Ohio (District 3),Joyce Beatty,66
Ohio (District 9),Marcy Kaptur,71
Ohio (District 11),Marcia Fudge,65
Ohio (District 13),Tim Ryan,44
Oregon (District 1),Suzanne Bonamici,63
Oregon (District 3),Earl Blumenauer,69
Oregon (District 4),Peter DeFazio,70
Oregon (District 5),Kurt Schrader,66
Pennsylvania (District 1),Bob Brady,72
Pennsylvania (District 2),Dwight Evans,63
Pennsylvania (District 13),Brendan F. Boyle,40
Pennsylvania (District 14),Michael Doyle,64
Pennsylvania (District 17),Matt Cartwright,56
Rhode Island (District 1),David Cicilline,56
Rhode Island (District 2),Jim Langevin,53
South Carolina (District 6),Jim Clyburn,77
Tennessee (District 5),Jim Cooper,63
Tennessee (District 9),Steve Cohen,68
Texas (District 9),Al Green,70
Texas (District 15),Vicente Gonzalez,50
Texas (District 16),Beto O?Rourke,45
Texas (District 18),Sheila Jackson Lee,67
Texas (District 20),Joaquin Castro,43
Texas (District 28),Henry Cuellar,62
Texas (District 29),Gene Green,70
Texas (District 30),Eddie Johnson,82
Texas (District 33),Marc Veasey,46
Texas (District 34),Filemon Vela Jr.,54
Texas (District 35),Lloyd Doggett,71
Vermont (At Large),Peter Welch,70
Virginia (District 3),Robert Scott,70
Virginia (District 4),Donald McEachin,56
Virginia (District 8),Don Beyer,67
Virginia (District 11),Gerry Connolly,67
Washington (District 1),Suzan DelBene,54
Washington (District 2),Rick Larsen,52
Washington (District 6),Derek Kilmer,43
Washington (District 7),Pramila Jayapal,52
Washington (District 9),Adam Smith,52
Washington (District 10),Dennis Heck,65
Wisconsin (District 2),Mark Pocan,53
Wisconsin (District 3),Ron Kind,54
Wisconsin (District 4),Gwen Moore,66
Alabama (District 1),Bradley Byrne,62
Alabama (District 2),Martha Roby,41
Alabama (District 3),Mike Rogers,59
Alabama (District 4),Robert Aderholt,52
Alabama (District 5),Mo Brooks,63
Alabama (District 6),Gary Palmer,63
Alaska (At Large),Don Young,84
Arizona (District 2),Martha McSally,51
Arizona (District 4),Paul Gosar,59
Arizona (District 5),Andy Biggs,59
Arizona (District 6),David Schweikert,55
Arizona (District 8),Trent Franks,60
Arkansas (District 1),Rick Crawford,51
Arkansas (District 2),French Hill,61
Arkansas (District 3),Steve Womack,60
Arkansas (District 4),Bruce Westerman,61
California (District 1),Doug LaMalfa,57
California (District 4),Tom McClintock,61
California (District 8),Paul Cook,74
California (District 10),Jeff Denham,50
California (District 21),David Valadao,40
California (District 22),Devin Nunes,44
California (District 23),Kevin McCarthy (House Majority Leader),52
California (District 25),Steve Knight,51
California (District 39),Ed Royce,66
California (District 42),Ken Calvert,64
California (District 45),Mimi Walters,55
California (District 48),Dana Rohrabacher,70
California (District 49),Darrell Issa,64
California (District 50), Duncan D. Hunter,41
Colorado (District 3),Scott Tipton,61
Colorado (District 4),Ken Buck,58
Colorado (District 5),Doug Lamborn,63
Colorado (District 6),Mike Coffman,62
Florida (District 1),Matt Gaetz,35
Florida (District 2),Neal Dunn,64
Florida (District 3),Ted Yoho,62
Florida (District 4),John Rutherford,65
Florida (District 6),Ron DeSantis,39
Florida (District 8),Bill Posey,70
Florida (District 11),Daniel Webster,68
Florida (District 12),Gus Bilirakis,54
Florida (District 15),Dennis Ross,58
Florida (District 16),Vern Buchanan,66
Florida (District 17),Tom Rooney,47
Florida (District 18),Brian Mast,36
Florida (District 19),Francis Rooney,64
Florida (District 25),Mario Diaz-Balart,56
Florida (District 26),Carlos Curbelo,37
Florida (District 27),Ileana Ros-Lehtinen,65
Georgia (District 1),Buddy Carter,60
Georgia (District 3),Drew Ferguson,51
Georgia (District 7),Rob Woodall,47
Georgia (District 8),Austin Scott,48
Georgia (District 9),Doug Collins,51
Georgia (District 10),Jody Hice,57
Georgia (District 11),Barry Loudermilk,54
Georgia (District 12),Rick W. Allen,66
Georgia (District 14),Tom Graves,47
Idaho (District 1),Raul Labrador,50
Idaho (District 2),Mike Simpson,67
Illinois (District 6),Peter Roskam,56
Illinois (District 12),Mike Bost,57
Illinois (District 13),Rodney Davis,47
Illinois (District 14),Randy Hultgren,51
Illinois (District 15),John Shimkus,59
Illinois (District 16),Adam Kinzinger,39
Illinois (District 18),Darin LaHood,49
Indiana (District 2),Jackie Walorski,54
Indiana (District 3),Jim Banks,38
Indiana (District 4),Todd Rokita,47
Indiana (District 5),Susan Brooks,57
Indiana (District 6),Luke Messer,48
Indiana (District 8),Larry Bucshon,55
Indiana (District 9),Trey Hollingsworth,34
Iowa (District 1),Rod Blum,62
Iowa (District 3),David Young,49
Iowa (District 4),Steve King,68
Kansas (District 1),Roger Marshall,57
Kansas (District 2),Lynn Jenkins,54
Kansas (District 3),Kevin Yoder,41
Kentucky (District 1),James Comer,45
Kentucky (District 2),Brett Guthrie,53
Kentucky (District 4),Thomas Massie,46
Kentucky (District 5),Hal Rogers,80
Kentucky (District 6),Andy Barr,44
Louisiana (District 1),Steve Scalise,52
Louisiana (District 3),Clay Higgins,56
Louisiana (District 4),Mike Johnson,45
Louisiana (District 5),Ralph Abraham,63
Louisiana (District 6),Garret Graves,45
Maine (District 2),Bruce Poliquin,64
Maryland (District 1),Andy Harris,60
Michigan (District 1),Jack Bergman,70
Michigan (District 2),Bill Huizenga,48
Michigan (District 3),Justin Amash,37
Michigan (District 4),John Moolenaar,56
Michigan (District 6),Fred Upton,64
Michigan (District 7),Tim Walberg,66
Michigan (District 8),Mike Bishop,50
Michigan (District 10),Paul Mitchell,61
Michigan (District 11),David Trott,57
Minnesota (District 2),Jason Lewis,62
Minnesota (District 3),Erik Paulsen,52
Minnesota (District 6),Tom Emmer,56
Mississippi (District 1),Trent Kelly,51
Mississippi (District 3),Gregg Harper,61
Mississippi (District 4),Steven Palazzo,47
Missouri (District 2),Ann Wagner,55
Missouri (District 3),Blaine Luetkemeyer,57
Missouri (District 4),Vicky Hartzler,57
Missouri (District 6),Sam Graves,54
Missouri (District 7),Billy Long,62
Missouri (District 8),Jason T. Smith,37
Montana (At Large),Ryan Zinke,56
Nebraska (District 1),Jeff Fortenberry,57
Nebraska (District 2),Don Bacon,54
Nebraska (District 3),Adrian Smith,47
Nevada (District 2),Mark Amodei,59
New Jersey (District 2),Frank LoBiondo,71
New Jersey (District 3),Tom MacArthur,57
New Jersey (District 4),Chris Smith,64
New Jersey (District 7),Leonard Lance,65
New Jersey (District 11),Rodney Frelinghuysen,71
New Mexico (District 2),Steve Pearce,70
New York (District 1),Lee Zeldin,37
New York (District 2),Peter King,73
New York (District 11),Daniel Donovan,61
New York (District 19),John Faso,65
New York (District 21),Elise Stefanik,33
New York (District 22),Claudia Tenney,56
New York (District 23),Tom Reed,46
New York (District 24),John Katko,55
New York (District 27),Chris Collins,67
North Carolina (District 2),George Holding,49
North Carolina (District 3),Walter Jones,74
North Carolina (District 5),Virginia Foxx,74
North Carolina (District 6),Mark Walker,48
North Carolina (District 7),David Rouzer,45
North Carolina (District 8),Richard Hudson,46
North Carolina (District 9),Robert Pittenger,69
North Carolina (District 10),Patrick McHenry,42
North Carolina (District 11),Mark Meadows,58
North Carolina (District 13),Ted Budd,46
North Dakota (At Large),Kevin Cramer,56
Ohio (District 1),Steve Chabot,64
Ohio (District 2),Brad Wenstrup,59
Ohio (District 4),Jim Jordan,53
Ohio (District 5),Bob Latta,61
Ohio (District 6),Bill Johnson,63
Ohio (District 7),Bob Gibbs,63
Ohio (District 8),Warren Davidson,47
Ohio (District 10),Mike Turner,57
Ohio (District 12),Pat Tiberi,55
Ohio (District 14),David Joyce,60
Ohio (District 15),Steve Stivers,52
Ohio (District 16),Jim Renacci,59
Oklahoma (District 1),Jim Bridenstine,42
Oklahoma (District 2),Markwayne Mullin,40
Oklahoma (District 3),Frank Lucas,57
Oklahoma (District 4),Tom Cole,68
Oklahoma (District 5),Steve Russell,54
Oregon (District 2),Greg Walden,60
Pennsylvania (District 3),Mike Kelly,69
Pennsylvania (District 4),Scott Perry,55
Pennsylvania (District 5),Glenn Thompson,58
Pennsylvania (District 6),Ryan Costello,41
Pennsylvania (District 7),Pat Meehan,62
Pennsylvania (District 8),Brian Fitzpatrick,44
Pennsylvania (District 9),Bill Shuster,56
Pennsylvania (District 10),Tom Marion,65
Pennsylvania (District 11),Lou Barletta,61
Pennsylvania (District 12),Keith Rothfus,55
Pennsylvania (District 15),Charlie Dent,57
Pennsylvania (District 16),Lloyd Smucker,53
Pennsylvania (District 18),Timothy F. Murphy,65
South Carolina (District 1),Mark Sanford,57
South Carolina (District 2),Joe Wilson,70
South Carolina (District 3),Jeff Duncan,51
South Carolina (District 4),Trey Gowdy,53
South Carolina (District 5),Mick Mulvaney,50
South Carolina (District 7),Tom Rice,60
South Dakota (At Large),Kristi Noem,46
Tennessee (District 1),Phil Roe,72
Tennessee (District 2),Jimmy Duncan,70
Tennessee (District 3),Chuck Fleischmann,55
Tennessee (District 4),Scott DesJarlais,53
Tennessee (District 6),Diane Black,66
Tennessee (District 7),Marsha Blackburn,65
Tennessee (District 8),David Kustoff,51
Texas (District 1),Louie Gohmert,64
Texas (District 2),Ted Poe,69
Texas (District 3),Sam Johnson,87
Texas (District 4),John Ratcliffe,52
Texas (District 5),Jeb Hensarling,60
Texas (District 6),Joe Barton,68
Texas (District 7),John Culberson,61
Texas (District 8),Kevin Brady,62
Texas (District 10),Michael McCaul,55
Texas (District 11),Mike Conaway,69
Texas (District 12),Kay Granger,74
Texas (District 13),Mac Thornberry,59
Texas (District 14),Randy Weber,64
Texas (District 17),Bill Flores,63
Texas (District 19),Jodey Arrington,45
Texas (District 21),Lamar S. Smith,70
Texas (District 22),Pete Olson,55
Texas (District 23),Will Hurd,40
Texas (District 24),Kenny Marchant,66
Texas (District 25),Roger Williams,68
Texas (District 26),Michael Burgess,67
Texas (District 27),Blake Farenthold,56
Texas (District 31),John Carter,76
Texas (District 32),Pete Sessions,62
Texas (District 36),Brian Babin,69
Utah (District 1),Rob Bishop,66
Utah (District 2),Chris Stewart,57
Utah (District 3),Jason Chaffetz,50
Utah (District 4),Mia Love,42
Virginia (District 1),Rob Wittman,58
Virginia (District 2),Scott Taylor,38
Virginia (District 5),Thomas Garrett Jr.,45
Virginia (District 6),Bob Goodlatte,65
Virginia (District 7),Dave Brat,53
Virginia (District 9),Morgan Griffith,59
Virginia (District 10),Barbara Comstock,58
Washington (District 3),Jaime Herrera Beutler,39
Washington (District 4),Dan Newhouse,62
Washington (District 5),Cathy McMorris Rodgers,48
Washington (District 8),Dave Reichert,67
West Virginia (District 1),David McKinley,70
West Virginia (District 2),Alex Mooney,46
West Virginia (District 3),Evan Jenkins,57
Wisconsin (District 1),Paul Ryan (Speaker of the House) Current age,47
Wisconsin (District 5),Jim Sensenbrenner,74
Wisconsin (District 6),Glenn Grothman,62
Wisconsin (District 7),Sean Duffy,46
Wisconsin (District 8),Mike Gallagher,33
Wyoming (At Large),Liz Cheney,51

