Date,Source,Site ID,POC,Daily Mean Pb Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
1/1/2017,AQS,271377001,1,0.001,ug/m3 LC,.,Virginia City Hall,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,47.523355,-92.536305
1/7/2017,AQS,271377001,1,0.003,ug/m3 LC,.,Virginia City Hall,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,47.523355,-92.536305
1/13/2017,AQS,271377001,1,0.001,ug/m3 LC,.,Virginia City Hall,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,47.523355,-92.536305
1/19/2017,AQS,271377001,1,0.002,ug/m3 LC,.,Virginia City Hall,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,47.523355,-92.536305
1/25/2017,AQS,271377001,1,0.009,ug/m3 LC,.,Virginia City Hall,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,47.523355,-92.536305
1/31/2017,AQS,271377001,1,0.003,ug/m3 LC,.,Virginia City Hall,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,47.523355,-92.536305
2/6/2017,AQS,271377001,1,0.001,ug/m3 LC,.,Virginia City Hall,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,47.523355,-92.536305
2/12/2017,AQS,271377001,1,0.001,ug/m3 LC,.,Virginia City Hall,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,47.523355,-92.536305
2/18/2017,AQS,271377001,1,0.001,ug/m3 LC,.,Virginia City Hall,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,47.523355,-92.536305
2/24/2017,AQS,271377001,1,0.002,ug/m3 LC,.,Virginia City Hall,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,47.523355,-92.536305
3/2/2017,AQS,271377001,1,0.003,ug/m3 LC,.,Virginia City Hall,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,47.523355,-92.536305
3/8/2017,AQS,271377001,1,0.003,ug/m3 LC,.,Virginia City Hall,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,47.523355,-92.536305
3/14/2017,AQS,271377001,1,0.002,ug/m3 LC,.,Virginia City Hall,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,47.523355,-92.536305
3/20/2017,AQS,271377001,1,0.002,ug/m3 LC,.,Virginia City Hall,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,47.523355,-92.536305
3/26/2017,AQS,271377001,1,0.001,ug/m3 LC,.,Virginia City Hall,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,47.523355,-92.536305
4/1/2017,AQS,271377001,1,0.002,ug/m3 LC,.,Virginia City Hall,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,47.523355,-92.536305
4/7/2017,AQS,271377001,1,0.002,ug/m3 LC,.,Virginia City Hall,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,47.523355,-92.536305
4/13/2017,AQS,271377001,1,0.002,ug/m3 LC,.,Virginia City Hall,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,47.523355,-92.536305
4/19/2017,AQS,271377001,1,0,ug/m3 LC,.,Virginia City Hall,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,47.523355,-92.536305
4/25/2017,AQS,271377001,1,0.002,ug/m3 LC,.,Virginia City Hall,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,47.523355,-92.536305
5/1/2017,AQS,271377001,1,0,ug/m3 LC,.,Virginia City Hall,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,47.523355,-92.536305
5/7/2017,AQS,271377001,1,0,ug/m3 LC,.,Virginia City Hall,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,47.523355,-92.536305
5/13/2017,AQS,271377001,1,0.002,ug/m3 LC,.,Virginia City Hall,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,47.523355,-92.536305
5/19/2017,AQS,271377001,1,0.001,ug/m3 LC,.,Virginia City Hall,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,47.523355,-92.536305
5/25/2017,AQS,271377001,1,0.001,ug/m3 LC,.,Virginia City Hall,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,47.523355,-92.536305
5/31/2017,AQS,271377001,1,0.001,ug/m3 LC,.,Virginia City Hall,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,47.523355,-92.536305
6/12/2017,AQS,271377001,1,0,ug/m3 LC,.,Virginia City Hall,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,47.523355,-92.536305
6/18/2017,AQS,271377001,1,0.001,ug/m3 LC,.,Virginia City Hall,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,47.523355,-92.536305
6/24/2017,AQS,271377001,1,0.001,ug/m3 LC,.,Virginia City Hall,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,47.523355,-92.536305
6/30/2017,AQS,271377001,1,0.002,ug/m3 LC,.,Virginia City Hall,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,47.523355,-92.536305
7/6/2017,AQS,271377001,1,0.001,ug/m3 LC,.,Virginia City Hall,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,47.523355,-92.536305
7/12/2017,AQS,271377001,1,0.001,ug/m3 LC,.,Virginia City Hall,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,47.523355,-92.536305
7/18/2017,AQS,271377001,1,0,ug/m3 LC,.,Virginia City Hall,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,47.523355,-92.536305
7/24/2017,AQS,271377001,1,0.006,ug/m3 LC,.,Virginia City Hall,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,47.523355,-92.536305
7/30/2017,AQS,271377001,1,0.003,ug/m3 LC,.,Virginia City Hall,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,47.523355,-92.536305
8/5/2017,AQS,271377001,1,0.001,ug/m3 LC,.,Virginia City Hall,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,47.523355,-92.536305
8/11/2017,AQS,271377001,1,0.001,ug/m3 LC,.,Virginia City Hall,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,47.523355,-92.536305
8/17/2017,AQS,271377001,1,0.001,ug/m3 LC,.,Virginia City Hall,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,47.523355,-92.536305
8/23/2017,AQS,271377001,1,0,ug/m3 LC,.,Virginia City Hall,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,47.523355,-92.536305
8/29/2017,AQS,271377001,1,0,ug/m3 LC,.,Virginia City Hall,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,47.523355,-92.536305
9/4/2017,AQS,271377001,1,0,ug/m3 LC,.,Virginia City Hall,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,47.523355,-92.536305
9/10/2017,AQS,271377001,1,0.002,ug/m3 LC,.,Virginia City Hall,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,47.523355,-92.536305
9/16/2017,AQS,271377001,1,0.002,ug/m3 LC,.,Virginia City Hall,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,47.523355,-92.536305
9/22/2017,AQS,271377001,1,0.001,ug/m3 LC,.,Virginia City Hall,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,47.523355,-92.536305
9/28/2017,AQS,271377001,1,0.001,ug/m3 LC,.,Virginia City Hall,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,47.523355,-92.536305
10/4/2017,AQS,271377001,1,0.001,ug/m3 LC,.,Virginia City Hall,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,47.523355,-92.536305
10/10/2017,AQS,271377001,1,0.002,ug/m3 LC,.,Virginia City Hall,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,47.523355,-92.536305
10/16/2017,AQS,271377001,1,0.001,ug/m3 LC,.,Virginia City Hall,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,47.523355,-92.536305
10/22/2017,AQS,271377001,1,0.002,ug/m3 LC,.,Virginia City Hall,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,47.523355,-92.536305
10/28/2017,AQS,271377001,1,0.002,ug/m3 LC,.,Virginia City Hall,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,47.523355,-92.536305
11/3/2017,AQS,271377001,1,0.001,ug/m3 LC,.,Virginia City Hall,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,47.523355,-92.536305
11/9/2017,AQS,271377001,1,0.003,ug/m3 LC,.,Virginia City Hall,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,47.523355,-92.536305
11/15/2017,AQS,271377001,1,0.003,ug/m3 LC,.,Virginia City Hall,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,47.523355,-92.536305
11/21/2017,AQS,271377001,1,0.002,ug/m3 LC,.,Virginia City Hall,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,47.523355,-92.536305
11/27/2017,AQS,271377001,1,0.002,ug/m3 LC,.,Virginia City Hall,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,47.523355,-92.536305
12/3/2017,AQS,271377001,1,0.002,ug/m3 LC,.,Virginia City Hall,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,47.523355,-92.536305
12/9/2017,AQS,271377001,1,0.002,ug/m3 LC,.,Virginia City Hall,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,47.523355,-92.536305
12/15/2017,AQS,271377001,1,0,ug/m3 LC,.,Virginia City Hall,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,47.523355,-92.536305
12/21/2017,AQS,271377001,1,0,ug/m3 LC,.,Virginia City Hall,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,47.523355,-92.536305
12/27/2017,AQS,271377001,1,0,ug/m3 LC,.,Virginia City Hall,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,47.523355,-92.536305
1/1/2017,AQS,271377549,1,0.001,ug/m3 LC,.,Michigan Street,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,46.77107,-92.11732
1/7/2017,AQS,271377549,1,0.001,ug/m3 LC,.,Michigan Street,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,46.77107,-92.11732
1/13/2017,AQS,271377549,1,0.001,ug/m3 LC,.,Michigan Street,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,46.77107,-92.11732
1/19/2017,AQS,271377549,1,0.003,ug/m3 LC,.,Michigan Street,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,46.77107,-92.11732
1/31/2017,AQS,271377549,1,0.001,ug/m3 LC,.,Michigan Street,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,46.77107,-92.11732
2/6/2017,AQS,271377549,1,0.001,ug/m3 LC,.,Michigan Street,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,46.77107,-92.11732
2/12/2017,AQS,271377549,1,0.001,ug/m3 LC,.,Michigan Street,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,46.77107,-92.11732
2/18/2017,AQS,271377549,1,0.003,ug/m3 LC,.,Michigan Street,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,46.77107,-92.11732
2/24/2017,AQS,271377549,1,0.001,ug/m3 LC,.,Michigan Street,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,46.77107,-92.11732
3/2/2017,AQS,271377549,1,0.002,ug/m3 LC,.,Michigan Street,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,46.77107,-92.11732
3/8/2017,AQS,271377549,1,0.002,ug/m3 LC,.,Michigan Street,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,46.77107,-92.11732
3/14/2017,AQS,271377549,1,0.003,ug/m3 LC,.,Michigan Street,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,46.77107,-92.11732
3/20/2017,AQS,271377549,1,0.002,ug/m3 LC,.,Michigan Street,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,46.77107,-92.11732
3/26/2017,AQS,271377549,1,0,ug/m3 LC,.,Michigan Street,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,46.77107,-92.11732
4/1/2017,AQS,271377549,1,0.005,ug/m3 LC,.,Michigan Street,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,46.77107,-92.11732
4/7/2017,AQS,271377549,1,0.006,ug/m3 LC,.,Michigan Street,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,46.77107,-92.11732
4/13/2017,AQS,271377549,1,0.003,ug/m3 LC,.,Michigan Street,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,46.77107,-92.11732
4/19/2017,AQS,271377549,1,0,ug/m3 LC,.,Michigan Street,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,46.77107,-92.11732
5/1/2017,AQS,271377549,1,0,ug/m3 LC,.,Michigan Street,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,46.77107,-92.11732
5/7/2017,AQS,271377549,1,0,ug/m3 LC,.,Michigan Street,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,46.77107,-92.11732
5/19/2017,AQS,271377549,1,0.001,ug/m3 LC,.,Michigan Street,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,46.77107,-92.11732
5/31/2017,AQS,271377549,1,0.001,ug/m3 LC,.,Michigan Street,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,46.77107,-92.11732
6/6/2017,AQS,271377549,1,0.003,ug/m3 LC,.,Michigan Street,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,46.77107,-92.11732
6/12/2017,AQS,271377549,1,0.001,ug/m3 LC,.,Michigan Street,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,46.77107,-92.11732
6/18/2017,AQS,271377549,1,0.001,ug/m3 LC,.,Michigan Street,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,46.77107,-92.11732
6/24/2017,AQS,271377549,1,0.001,ug/m3 LC,.,Michigan Street,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,46.77107,-92.11732
6/30/2017,AQS,271377549,1,0.002,ug/m3 LC,.,Michigan Street,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,46.77107,-92.11732
7/6/2017,AQS,271377549,1,0.001,ug/m3 LC,.,Michigan Street,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,46.77107,-92.11732
7/12/2017,AQS,271377549,1,0,ug/m3 LC,.,Michigan Street,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,46.77107,-92.11732
7/18/2017,AQS,271377549,1,0,ug/m3 LC,.,Michigan Street,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,46.77107,-92.11732
7/24/2017,AQS,271377549,1,0.001,ug/m3 LC,.,Michigan Street,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,46.77107,-92.11732
7/30/2017,AQS,271377549,1,0.001,ug/m3 LC,.,Michigan Street,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,46.77107,-92.11732
8/5/2017,AQS,271377549,1,0.002,ug/m3 LC,.,Michigan Street,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,46.77107,-92.11732
8/11/2017,AQS,271377549,1,0.004,ug/m3 LC,.,Michigan Street,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,46.77107,-92.11732
8/17/2017,AQS,271377549,1,0.001,ug/m3 LC,.,Michigan Street,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,46.77107,-92.11732
8/23/2017,AQS,271377549,1,0.001,ug/m3 LC,.,Michigan Street,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,46.77107,-92.11732
8/29/2017,AQS,271377549,1,0.001,ug/m3 LC,.,Michigan Street,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,46.77107,-92.11732
9/4/2017,AQS,271377549,1,0.001,ug/m3 LC,.,Michigan Street,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,46.77107,-92.11732
9/10/2017,AQS,271377549,1,0.004,ug/m3 LC,.,Michigan Street,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,46.77107,-92.11732
9/16/2017,AQS,271377549,1,0.002,ug/m3 LC,.,Michigan Street,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,46.77107,-92.11732
9/22/2017,AQS,271377549,1,0.001,ug/m3 LC,.,Michigan Street,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,46.77107,-92.11732
9/28/2017,AQS,271377549,1,0.001,ug/m3 LC,.,Michigan Street,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,46.77107,-92.11732
10/4/2017,AQS,271377549,1,0.002,ug/m3 LC,.,Michigan Street,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,46.77107,-92.11732
10/10/2017,AQS,271377549,1,0.002,ug/m3 LC,.,Michigan Street,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,46.77107,-92.11732
10/16/2017,AQS,271377549,1,0.004,ug/m3 LC,.,Michigan Street,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,46.77107,-92.11732
10/22/2017,AQS,271377549,1,0.001,ug/m3 LC,.,Michigan Street,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,46.77107,-92.11732
10/28/2017,AQS,271377549,1,0.001,ug/m3 LC,.,Michigan Street,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,46.77107,-92.11732
11/3/2017,AQS,271377549,1,0.002,ug/m3 LC,.,Michigan Street,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,46.77107,-92.11732
11/9/2017,AQS,271377549,1,0.001,ug/m3 LC,.,Michigan Street,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,46.77107,-92.11732
11/15/2017,AQS,271377549,1,0.001,ug/m3 LC,.,Michigan Street,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,46.77107,-92.11732
11/21/2017,AQS,271377549,1,0.001,ug/m3 LC,.,Michigan Street,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,46.77107,-92.11732
